ID;Income;Recency
6646;16529;23
4887;55412;65
8560;48789;94
3321;56575;42
11003;25130;10
10402;35441;94
9904;71391;50
6141;49494;46
5687;81702;98
10856;45889;42
5121;56628;30
4186;34026;11
368;40049;61
3312;34176;12
11121;19419;76
5332;82504;2
5848;81205;43
10343;61618;27
5935;55284;60
2895;49980;79
10262;15072;96
7848;49166;17
9477;65324;0
4856;82347;38
7186;30843;43
5794;46374;1
1456;60474;25
4877;38576;2
425;55357;66
3007;37758;49
1031;85710;5
4297;23228;71
807;44602;35
9553;7500;94
4271;38683;80
4120;49514;61
2036;57906;29
115;43456;0
4259;19485;80
8687;53172;54
2447;30545;71
10140;70123;27
9353;62450;61
3623;21675;55
738;42395;35
7631;61346;34
4789;80812;95
773;42835;64
10602;39922;30
1446;86424;12
3270;17117;96
8443;24762;16
9653;35797;16
8916;36627;78
8017;51111;83
5830;86857;96
4597;82072;67
7023;46231;87
8086;42243;34
8825;51195;46
2930;68092;7
1928;31814;73
7108;51390;54
10925;76630;93
9960;26868;52
8800;48948;53
9224;55260;81
5519;64090;8
5046;78331;97
7037;37087;50
905;21846;38
8624;81320;61
8945;54137;46
6445;66825;73
2727;57100;19
6404;58917;10
11074;85072;94
10150;86429;10
1968;45684;37
6534;47889;94
9485;45921;23
7053;78420;75
4654;75114;40
9760;52278;24
1048;35641;11
10619;95529;29
9308;62820;51
10505;73113;86
8362;84169;9
2625;42607;30
4637;74637;73
9972;46015;25
4483;72354;67
4487;39858;67
4988;34469;58
8931;83033;82
5871;24401;98
2008;77583;93
3139;74116;53
10037;74293;66
10673;68397;6
5303;79632;42
538;46107;78
7922;64950;29
5692;25443;82
4843;75127;92
6383;32892;78
1628;71796;54
1204;67536;45
3673;55239;59
760;60554;8
8957;64831;51
4128;56067;51
6810;82025;76
5386;94384;62
8700;14906;86
3202;51563;60
1328;57937;56
8405;68274;83
6515;39771;92
2882;67893;31
7574;27922;80
6387;52190;39
5320;44051;20
5048;42767;53
8146;46106;84
10031;16927;50
5748;59754;96
2134;53700;94
1523;59041;25
9665;54237;48
4640;70647;65
3635;52597;69
3547;41021;12
2456;40233;84
5633;50183;47
7801;54753;87
10489;92955;35
7011;33471;47
2620;34596;48
3933;44010;46
10981;84219;27
1734;40706;37
10995;15716;8
6357;59052;29
9209;80573;85
10286;83715;2
2611;82576;66
1600;56962;60
3308;35704;54
5407;53103;70
2166;46779;55
3955;4861;20
6634;33462;78
3056;63693;63
5718;80763;17
6872;65352;43
8164;82170;13
4580;75759;46
9305;79689;65
453;35340;1
8545;85683;6
9850;24884;32
7378;42021;34
7646;64449;70
1640;64587;49
5184;34824;65
8492;75437;25
11188;26091;84
1212;52845;7
9097;46086;34
10473;78028;38
7962;95169;1
9984;56337;25
5527;22434;25
6374;36930;50
7453;36130;46
8952;65569;96
241;83844;57
8975;19514;47
6119;36736;52
5236;77568;30
5723;49187;63
1710;30168;51
1970;34053;14
5313;38196;20
10634;59412;56
7010;70924;41
8562;54165;72
3158;32300;1
4436;20180;27
5287;34961;77
2445;28440;87
6059;64504;81
4550;33564;51
4240;17345;79
8911;56320;11
3706;28647;54
3628;15038;93
10175;32173;0
8985;68316;54
5204;74538;21
9220;91700;58
9888;68695;3
5263;31056;99
1020;79593;70
9503;28071;65
10613;37334;44
67;46423;6
6019;37126;9
5863;47703;95
3717;61180;70
6730;38998;92
10749;8028;62
4998;76081;85
6287;34728;2
5985;33168;0
4754;33585;91
4002;77037;3
8870;35196;68
966;44529;98
4767;70924;41
9725;28764;16
4475;69098;82
5740;25959;1
5731;27100;64
7290;70596;68
3846;42557;98
8104;53312;32
4507;72228;87
11013;67605;84
4491;62845;3
3759;65196;34
1162;42000;23
2055;35860;37
10766;65526;22
4415;16860;19
3005;83528;7
2223;64176;52
4817;22304;91
2875;67023;93
10536;32892;78
11112;70713;23
3807;59925;83
9197;39722;92
10832;46610;4
6421;88347;32
4207;87171;27
577;26907;10
10855;50014;9
3081;41014;65
3535;66294;68
247;36715;16
8707;79456;12
9523;40479;95
6072;75345;16
6295;54233;46
10914;24163;3
1509;84460;80
5577;43776;77
7348;71691;0
1127;85844;62
1833;39190;91
4944;71367;24
9080;38578;2
6466;57236;22
9964;61825;56
4790;79803;54
10245;80910;71
1109;27590;38
6001;56775;62
5538;83829;78
10552;54210;18
1545;38508;95
7409;53187;66
4444;30023;28
146;76045;78
6271;50870;13
10065;15315;27
4741;65463;17
246;66480;71
375;76773;79
1524;81698;1
10022;54466;78
7451;98777;23
11010;16269;75
4356;71819;70
3885;33569;10
1175;36262;24
880;22634;47
2320;47025;98
850;70566;4
4713;31605;15
675;52034;67
5025;48526;32
2308;46734;40
5995;39552;54
6749;86358;78
1010;46931;94
8977;16581;51
4756;63998;42
3412;67381;67
606;25930;87
5961;42693;29
2975;85606;89
2894;72903;74
7613;49669;97
10542;36778;63
8015;85696;88
10617;10979;34
11166;49678;81
849;56129;65
523;37155;51
4066;21282;76
8414;33419;76
819;63285;84
4961;21255;56
749;42162;31
5430;54450;0
7755;57744;91
10525;26576;40
1453;57513;59
8310;68142;96
10710;7500;61
5031;83145;14
2613;54197;16
213;23091;98
967;46049;11
1077;56715;52
7959;79410;19
640;57304;61
4252;44375;73
8432;54450;0
6218;59594;74
6905;80685;55
5922;40344;48
3598;62710;53
6116;48985;13
6263;35322;34
10486;77142;54
2410;81657;69
193;14421;81
3363;20130;99
8278;74214;3
10660;66726;61
8686;23724;65
1604;47353;93
5907;33444;24
10669;54386;8
2918;28510;72
5735;90638;29
359;48070;33
8387;43140;68
1829;54959;55
3839;15056;76
9392;26954;17
2292;22327;94
10466;44393;86
9855;62000;25
4088;31497;22
5231;45894;15
590;78579;35
8732;67369;81
2315;58401;55
3515;62307;94
2245;43641;50
6283;63841;64
2246;46891;91
6606;70091;11
5545;78075;72
7342;59184;6
837;54809;0
9500;58113;66
3602;51412;42
234;15287;60
2995;66636;64
1118;50965;87
7789;84618;96
3068;18351;1
8955;40451;54
945;36317;53
5644;42213;96
7192;65748;58
2324;77044;12
697;74918;78
3439;56721;64
1506;42160;26
232;61559;8
8876;33629;49
4500;68682;56
9739;34377;55
10395;8940;25
1176;26228;50
1627;77297;84
938;40211;30
2740;33438;81
257;75032;74
4058;61284;76
7736;22518;36
8210;54730;64
833;38452;62
6230;44421;53
7325;38197;86
1307;41986;15
1502;28427;67
6211;37395;47
843;64722;47
4174;55249;81
9757;84906;98
6918;28691;56
286;44213;48
11086;25707;18
1921;59062;74
4138;76624;68
7718;66000;36
1291;27683;90
6862;1730;65
4136;7500;63
803;40521;82
4298;20427;63
10833;65106;55
9606;69969;64
8534;67433;51
5153;77766;97
961;74716;92
5011;68118;51
6653;55158;72
9094;62972;39
810;74190;49
5493;39356;21
2147;76653;91
5107;35860;37
3979;90687;98
6049;73450;85
8147;31454;40
1857;47139;2
3910;83829;78
5207;53378;41
11114;19656;94
5429;45579;10
9400;85485;73
1740;55956;22
7488;64191;30
195;38808;21
635;57183;51
7527;23748;97
10319;66303;56
2296;37368;4
10637;40800;77
2931;71847;95
907;46149;36
3698;78687;13
9516;49118;90
679;37633;49
7384;39767;18
5043;26997;89
5267;33986;43
339;57091;82
2516;46831;84
9010;83151;80
378;52531;68
4808;15759;12
5068;22804;75
7628;43050;10
7128;42997;91
2811;48918;21
3551;60033;28
1663;34043;97
5543;57811;49
1577;78569;14
10641;7500;5
5336;157733;37
6024;94384;62
1878;23148;83
3099;44267;48
6055;71626;94
5841;60894;61
3972;50200;70
4394;81051;43
5758;65169;23
6658;59868;37
4603;65695;50
8427;64857;78
10260;45143;74
7143;74805;14
8789;59060;77
6197;27238;39
4554;47009;89
4937;46094;62
1920;40321;59
8749;37235;68
1650;81843;13
10377;46692;37
9206;77382;36
10971;37774;28
6398;18393;2
9212;72828;17
7937;24711;86
839;45503;54
4246;6560;2
158;71604;3
4832;27244;84
5621;48752;8
1945;71434;4
5147;90842;57
2535;88097;24
11039;51948;51
9495;71853;29
9635;35876;13
2173;40049;23
942;39660;36
9386;50127;88
5510;43263;2
873;62845;3
2253;18929;15
5181;24367;58
979;33249;11
10390;26887;27
4698;50150;32
7793;62061;12
1745;85696;88
10590;76542;91
5080;70515;12
8369;18227;21
5232;69139;23
2407;69109;10
3834;69627;35
7912;38136;69
7712;62159;68
1065;80695;85
7275;33316;34
1343;58554;55
1384;17256;10
9967;53034;30
6181;52203;36
10507;59601;14
2674;75154;79
2698;47025;52
3231;37971;97
4096;41335;24
10476;67267;0
5948;57338;96
9140;50523;89
10258;35791;94
5675;50611;98
4743;56242;72
8805;48904;1
1542;56243;26
6770;21355;5
8773;57420;22
10475;;39
10420;46390;56
7514;54342;74
2902;;87
4345;;49
793;20895;24
10909;92344;9
3769;;17
8702;26907;10
4791;44964;35
2963;75507;56
8216;53761;7
8140;22682;51
10146;38887;17
5289;41658;30
2587;29791;21
4405;63915;2
8663;39996;85
2589;26759;65
3421;63841;64
10490;51039;11
4094;60544;92
9958;65685;54
2534;37716;4
4188;36864;53
6613;44511;39
10827;36947;49
5491;47352;70
8402;67087;40
8783;57045;40
10010;36957;43
618;69389;17
9121;80134;40
361;43142;84
4310;80589;25
2678;34412;62
6376;57537;83
524;22634;47
10341;51315;45
5654;36026;34
4098;24639;3
5824;34578;1
7000;65704;18
2561;63810;45
5229;54132;81
4086;18690;77
2428;28164;23
8254;34596;48
2836;43269;61
8418;38741;60
1362;31907;75
7152;27100;64
10033;31163;54
9349;92533;84
274;34853;75
3388;70844;16
922;31086;79
8588;60544;92
2518;20491;16
574;42523;96
3220;39922;30
5967;33402;60
1183;36408;11
6856;21645;75
4530;78427;36
1553;82657;71
4682;51876;88
8204;78041;93
5221;52852;93
1232;70038;54
1927;69401;41
5788;46053;46
6652;77343;28
6246;73892;40
5975;40304;82
6875;32727;38
4399;68695;3
4042;43300;87
2157;26290;49
10133;93790;16
2525;38410;65
8233;64866;9
9483;57957;24
2945;46015;25
10403;16531;43
5074;28072;10
10524;49476;29
4690;50725;45
7521;83844;57
7196;41145;20
4406;67419;29
9672;23162;82
4864;34380;68
4706;34704;65
4070;94871;99
25;65148;9
3697;39898;20
217;64857;78
4220;59892;26
5286;41020;68
9559;57072;79
2849;60474;25
7787;62807;83
3102;19414;32
5868;19107;49
8370;75484;50
9988;70379;84
2939;79419;96
5529;64014;56
9743;76998;85
5763;49854;63
3478;60585;17
7494;42873;11
1763;87679;62
7250;57867;48
2005;35765;86
10770;65492;73
6885;32952;36
2072;53374;34
9463;71706;16
6318;68487;48
4093;53253;61
5751;31163;54
3340;42014;56
3594;54108;74
3584;49667;35
3643;63206;65
851;57136;48
7706;46772;88
3967;78931;19
10128;53977;21
486;84219;27
9;46098;86
9451;73538;92
9264;79529;1
3865;20981;14
2853;51766;74
1490;55759;84
6310;33039;4
10380;37787;50
3887;27242;2
4278;87188;73
8643;69930;21
1998;37697;82
10795;37401;14
11110;3502;56
2408;58597;20
202;82032;54
7998;28087;77
830;74004;5
3536;19740;65
6050;57036;33
125;53083;65
3463;69283;41
2804;46098;86
3745;23331;92
9771;23331;97
451;9255;91
10530;67786;0
1079;71969;59
8920;59235;4
6678;31928;5
3852;74881;48
528;65819;99
73;51411;81
5589;51983;95
10212;42386;43
6365;30390;5
5636;30983;50
591;66033;76
2217;37284;46
2544;57530;68
7725;76800;33
8091;63943;50
7321;76081;85
5462;67445;63
7791;37054;89
955;47175;81
4037;31859;77
6642;27215;50
2793;70179;10
5424;39922;30
879;49681;66
9530;24645;16
4828;79865;12
10699;44322;30
1497;47958;8
7476;63972;93
4390;75315;14
10478;55517;53
1081;75283;26
4261;82800;23
9916;38998;92
5350;90638;29
8135;27161;41
8685;42014;56
4967;38201;19
2130;45203;4
9298;81574;89
8175;34935;71
6257;60482;81
3790;34633;31
9952;78093;53
3503;82460;78
5223;45903;80
4608;81361;18
1626;35860;37
4764;40442;52
2471;61482;39
5892;34968;11
2612;75794;33
4971;31497;22
5185;74268;83
10069;13724;43
2262;45143;74
1131;52569;54
1041;48432;3
24;17144;96
3409;36108;68
7022;76445;2
7943;36663;40
5272;53843;64
5453;90226;26
2565;70638;69
800;44512;57
11092;27116;78
5062;54072;71
8969;71855;59
4656;51250;28
4480;60432;61
9971;65526;22
6729;68655;95
1773;12393;38
9242;64509;19
1764;33955;92
6215;31353;24
10099;55434;21
5423;28359;35
940;57100;9
3011;69139;23
3298;52973;92
8286;51717;55
9668;18793;14
5120;66664;78
6097;50664;64
7019;54414;49
7408;54549;8
8041;47111;35
252;41003;11
9986;19444;8
3276;36301;53
3859;73059;36
3570;42731;64
3783;52854;43
10207;22775;40
10906;46681;52
3427;59821;11
5209;50002;21
10711;69755;23
10785;44078;17
2814;30560;6
6866;35924;56
1665;64140;71
6575;56386;51
3829;24594;94
3091;75774;27
10141;39228;1
5177;58494;56
7005;58684;71
6409;57136;18
7485;56551;48
8079;22448;86
8395;82014;48
10352;34213;2
4931;157146;13
13;25358;57
1834;35544;77
2285;36634;0
2295;62670;57
1378;50334;24
2781;72066;55
1165;50729;62
1404;34916;89
6457;64892;77
2639;43602;45
8299;33996;46
6437;41473;80
6912;63246;60
7327;36732;71
5299;69084;43
4127;77766;97
8143;37929;49
1964;86610;66
3690;80141;20
3433;72635;54
3389;69016;61
4712;20193;18
1170;27573;45
6347;15862;26
4065;49544;0
8230;33228;28
1215;70440;49
5939;38232;84
2156;22554;38
7788;23536;53
10323;49413;88
7947;42231;99
1891;78789;12
2570;56534;35
9256;58350;5
295;81217;77
7397;49090;45
6349;61787;71
10790;18169;40
10398;24336;82
2431;18222;70
550;62335;87
1890;42033;95
10742;86580;72
10356;41437;5
4676;73705;86
8852;61064;80
3565;38452;62
5294;18358;49
1958;55012;85
7349;9722;7
8799;38175;6
1351;58656;25
1045;52117;55
7732;64813;81
8070;54222;98
477;83512;31
7832;77520;30
2202;41154;98
7396;80398;92
4055;18746;41
10340;35196;68
10091;60230;78
7629;22108;46
10640;44392;71
3498;55424;6
6742;17688;82
1172;92491;71
569;90273;32
4686;82571;28
1381;38513;20
2634;16653;10
10905;42586;7
1744;23529;67
1000;74881;48
3828;71107;61
8605;46910;36
10304;18690;77
4351;37244;90
10129;82427;35
2499;75342;38
10092;70044;46
7500;79146;33
5796;77437;70
10556;54984;51
1064;42403;18
48;55761;97
7610;37292;32
263;45576;9
10814;70321;6
9710;58086;80
9292;81795;74
10250;28389;49
7881;66835;21
5847;69901;95
737;80360;56
3571;63342;48
7807;44989;26
3878;31859;3
5092;51569;39
2154;30372;33
5394;16014;42
3798;41120;80
3524;39763;9
5247;38725;52
5883;77981;78
2118;62905;68
8812;13533;45
6616;59481;47
2797;72117;34
4328;21955;81
9167;67131;72
10560;36802;23
2631;71853;29
8312;28249;80
5534;47808;30
5093;25509;15
7592;51012;86
