ID;Income
624;18890
5176;29604
5552;48721
868;44794
380;64497
2677;46097
6521;77972
6927;44377
2877;46014
0;70951
1584;41443
7264;52195
6274;83790
1377;44551
454;69508
1755;45204
2075;72460
4785;77622
9076;30732
7079;63887
4653;42011
7375;51369
709;51537
460;79930
3726;34320
6798;37070
5341;81975
1606;38590
9617;15033
3233;62745
89;22212
2936;23661
9449;79761
7297;7500
11004;60182
313;73455
9940;64961
10735;22804
9529;73687
6439;61074
7411;31686
2176;80134
9265;75027
8867;67546
8932;65176
10236;31160
6340;29938
10089;102692
2227;26490
10992;75702
5304;30899
309;63342
3406;45989
2661;18701
3153;40737
10264;15287
1184;69674
4200;44159
9396;37717
2387;43776
6690;38179
1225;80124
9703;38097
291;72940
4557;22070
2379;69267
5726;31788
3066;61905
6336;29315
10967;33378
2304;66313
3445;60714
7828;77882
3762;69867
4391;63841
4669;24480
10144;51369
8652;37760
1672;65640
8962;44319
9974;30631
10983;75278
8148;50898
10102;79946
4697;35416
9262;32414
7254;38361
4543;82497
4927;16626
10451;29672
2926;55951
2874;35388
9738;42386
7119;68627
3924;57912
5827;35246
5596;58821
10812;46377
1717;39747
9491;23976
9274;80950
6609;27038
6963;77457
4440;64100
1379;42670
10032;12571
2826;22574
2437;
6320;70893
3050;54198
231;28839
2392;40321
9478;66503
113;30833
2863;
1802;64795
520;34421
8275;47025
9750;64325
2607;40464
7214;62187
5835;14849
3896;27255
10350;54432
7786;29999
2861;24072
663;33996
10675;66334
2521;35178
9592;22010
10151;62204
7381;75693
4099;30675
9560;83003
1150;83532
10172;68655
11191;41411
9707;55212
6245;59292
8234;27190
1411;82623
8553;44300
1826;84835
8842;30372
11030;33181
2579;71113
175;71952
9185;69759
11056;72099
9365;60000
6201;38643
2061;50737
6184;68462
6142;65073
4107;46681
7274;78618
9336;62187
2958;28442
933;37717
5837;51479
10704;54803
5125;79530
4432;31615
5955;72025
2928;52614
5680;35684
10313;48178
2557;29548
1245;63810
1519;38578
10703;46098
1726;22585
4459;30279
1729;66426
1517;30822
2098;33581
9543;19986
6878;27421
3310;35688
2724;36143
948;10245
6720;43795
6202;63381
2066;38823
9799;83664
8318;90300
5642;62499
2669;74293
455;51012
7683;70777
3428;68682
7414;43824
6354;15345
798;23442
8213;14515
2488;31395
9999;75276
7617;42373
615;30507
2552;55521
194;48006
3645;27213
8890;65808
5049;30351
9973;50437
7301;23616
10882;53858
7030;66465
7422;46923
3523;75072
7106;75865
6504;19789
5067;80134
4216;91065
8581;49505
5929;37401
3129;30096
6528;18492
1361;82584
6932;93027
7284;48686
1340;92910
8746;75433
5987;10404
3767;61314
3725;84865
4324;42387
238;67309
6694;75236
498;30015
9347;50943
9699;67272
10664;51529
5455;32011
456;7500
5012;28691
7495;56223
5029;18100
10642;30279
2106;20130
10364;23295
5954;42618
1137;81246
2541;24027
1142;55707
2276;57959
2807;56796
6471;36230
6131;70829
6233;65991
4148;38988
4947;89572
3225;42207
7540;50300
10648;66664
1992;60597
7851;70165
8594;50520
7059;80124
2815;33183
2416;66582
7999;75261
9213;31880
9697;53790
3916;49269
2021;61456
1581;37406
564;56937
6619;38415
9081;20518
178;62503
916;41644
5512;55842
8970;62010
10581;41124
5300;38961
5154;37760
8346;32233
1676;43057
9286;83151
2426;78825
5172;65104
5562;60093
3436;14045
3921;28457
3403;78952
22;46310
10965;76005
9426;58308
6605;55614
3136;59432
8737;55563
11088;78642
716;67911
466;65275
9135;27203
10623;48330
8151;24279
5140;64355
10160;50943
4945;53653
10584;65665
6071;81217
3386;34935
8939;61250
9925;39665
4320;60152
5389;48920
6036;89120
182;44124
203;81169
11025;36443
10203;26095
4607;71367
3711;80184
3696;30630
2532;73454
9214;42691
4943;70503
35;25545
2258;32880
4322;77863
713;50353
4702;61839
3281;49154
702;47682
2004;72679
4769;57954
4437;65316
8724;28567
10741;47352
1991;44931
6931;76982
11096;57247
304;22944
3665;25315
10591;43638
5036;42710
5547;84169
7822;54058
8541;24683
10955;85620
4368;47850
9671;19514
2256;27159
4279;39548
5371;21474
9240;60504
9460;22419
9504;81698
8692;43462
448;54880
8314;79908
8420;15315
3174;87771
7685;33039
3179;81741
9780;71499
10681;62466
10232;48799
4184;52157
9120;66565
891;29298
10381;47691
3525;38200
6818;44989
3526;38443
8181;38593
1029;64413
7369;36959
2574;61996
8159;51287
1160;13260
10242;47472
5253;54603
5966;45207
5314;40689
5081;47821
5123;27450
5756;39453
8036;26850
9058;79800
5057;61794
254;53863
4179;24221
3710;39684
7627;92163
4501;69882
6424;33178
3075;59973
4992;17459
5252;23910
7444;42169
6919;26224
3537;31089
10277;30081
2453;62807
7972;72906
895;61467
1177;49618
7141;21888
7232;42429
8477;26150
2457;30801
988;81168
7930;26877
4587;45006
6682;18978
6222;22574
10299;48240
3083;45837
8953;35791
1503;162397
8650;54162
10862;30522
2782;54456
6941;31632
10972;72298
10708;36975
6583;72635
3641;13624
10156;84196
4299;70971
3469;34487
5063;28769
10727;69084
9624;65488
5156;62466
4376;32218
8923;83917
8461;46102
6945;84574
944;56181
1907;63120
701;73691
3856;63381
4149;76140
2131;62859
2942;45906
1173;77632
4381;46463
4611;105471
3376;55282
4679;78710
10928;66886
4248;98777
6728;29103
6661;67445
4725;50616
3277;49431
5555;153924
2564;61278
946;26490
3867;73059
6940;46734
55;56253
7093;19986
5084;58330
1777;25965
8162;14661
10826;18690
8754;45068
1987;21063
11007;29187
7426;54690
9153;59304
10379;59247
9204;66731
3197;77353
2920;52614
6961;26751
4673;81300
9937;70337
8779;36145
9596;65295
2891;68118
4910;68743
75;41039
10120;38946
6327;65777
10142;66476
9826;86857
1501;160803
10767;77845
7279;69476
7230;50611
143;61209
450;42315
9316;13084
6379;47570
9239;61923
8315;34824
2868;26518
10888;45938
1277;78468
9977;78901
10196;71427
6384;71022
8029;90247
968;41335
6988;71952
4472;35682
6991;43185
3336;66375
4301;35178
1940;25252
1272;55250
1388;33249
1044;58398
6969;50272
10479;76618
3619;87305
1715;25851
10159;58710
1463;45160
5114;74806
4990;59111
4329;18988
10936;72190
4692;7500
7212;44794
6086;80395
437;75012
11171;56962
11101;89891
5329;35946
610;53593
9384;66373
5956;45072
10430;89694
7875;72025
7072;67432
6255;70545
6516;17487
5564;62882
5682;64108
7458;34941
5237;48767
7761;38702
5278;82224
3560;83844
7235;17003
10548;71163
2281;33697
4073;63564
6974;83443
7938;51518
7094;58330
3667;80952
7723;75507
3870;63855
4012;62220
5909;58512
10470;40662
6488;38829
10270;35523
6887;79146
6406;78285
7573;31626
4508;75127
221;48726
5331;74985
1911;67430
20;46891
8786;62058
10582;72063
1915;78939
8897;42720
2371;33622
4303;6835
6825;41452
1072;40760
4964;74250
2461;51124
10736;72258
3194;71466
10839;36283
49;20587
4290;30467
10219;31590
4211;20425
1135;17144
6299;42564
10846;43783
347;40780
6543;62847
10446;82017
3479;16813
11075;51267
4442;46524
199;45183
6722;70421
796;60161
3749;73926
8523;19329
310;61872
8629;46984
236;34838
9930;82716
3483;48192
4599;49681
7326;56850
7352;55267
2350;59666
9145;72504
2964;26872
5585;21359
9687;73170
3732;52750
6303;91820
11176;65968
2986;30772
7462;22507
3900;65685
7034;25804
9493;76412
1143;22063
1;57091
3855;22419
5536;87771
5989;78353
9499;93404
6768;37859
2150;80995
6646;16529
4887;55412
8560;48789
3321;56575
11003;25130
10402;35441
9904;71391
6141;49494
5687;81702
10856;45889
5121;56628
4186;34026
368;40049
3312;34176
11121;19419
5332;82504
5848;81205
10343;61618
5935;55284
2895;49980
10262;15072
7848;49166
9477;65324
4856;82347
7186;30843
5794;46374
1456;60474
4877;38576
425;55357
3007;37758
1031;85710
4297;23228
807;44602
9553;7500
4271;38683
4120;49514
2036;57906
115;43456
4259;19485
8687;53172
2447;30545
10140;70123
9353;62450
3623;21675
738;42395
7631;61346
4789;80812
773;42835
10602;39922
1446;86424
3270;17117
8443;24762
9653;35797
8916;36627
8017;51111
5830;86857
4597;82072
7023;46231
8086;42243
8825;51195
2930;68092
1928;31814
7108;51390
10925;76630
9960;26868
8800;48948
9224;55260
5519;64090
5046;78331
7037;37087
905;21846
8624;81320
8945;54137
6445;66825
2727;57100
6404;58917
11074;85072
10150;86429
1968;45684
6534;47889
9485;45921
7053;78420
4654;75114
9760;52278
1048;35641
10619;95529
9308;62820
10505;73113
8362;84169
2625;42607
4637;74637
9972;46015
4483;72354
4487;39858
4988;34469
8931;83033
5871;24401
2008;77583
3139;74116
10037;74293
10673;68397
5303;79632
538;46107
7922;64950
5692;25443
4843;75127
6383;32892
1628;71796
1204;67536
3673;55239
760;60554
8957;64831
4128;56067
6810;82025
5386;94384
8700;14906
3202;51563
1328;57937
8405;68274
6515;39771
2882;67893
7574;27922
6387;52190
5320;44051
5048;42767
8146;46106
10031;16927
5748;59754
2134;53700
1523;59041
9665;54237
4640;70647
3635;52597
3547;41021
2456;40233
5633;50183
7801;54753
10489;92955
7011;33471
2620;34596
3933;44010
10981;84219
1734;40706
10995;15716
6357;59052
9209;80573
10286;83715
2611;82576
1600;56962
3308;35704
5407;53103
2166;46779
3955;4861
6634;33462
3056;63693
5718;80763
6872;65352
8164;82170
4580;75759
9305;79689
453;35340
8545;85683
9850;24884
7378;42021
7646;64449
1640;64587
5184;34824
8492;75437
11188;26091
1212;52845
9097;46086
10473;78028
7962;95169
9984;56337
5527;22434
6374;36930
7453;36130
8952;65569
241;83844
8975;19514
6119;36736
5236;77568
5723;49187
1710;30168
1970;34053
5313;38196
10634;59412
7010;70924
8562;54165
3158;32300
4436;20180
5287;34961
2445;28440
6059;64504
4550;33564
4240;17345
8911;56320
3706;28647
3628;15038
10175;32173
8985;68316
5204;74538
9220;91700
9888;68695
5263;31056
1020;79593
9503;28071
10613;37334
67;46423
6019;37126
5863;47703
3717;61180
6730;38998
10749;8028
4998;76081
6287;34728
5985;33168
4754;33585
4002;77037
8870;35196
966;44529
4767;70924
9725;28764
4475;69098
5740;25959
5731;27100
7290;70596
3846;42557
8104;53312
4507;72228
11013;67605
4491;62845
3759;65196
1162;42000
2055;35860
10766;65526
4415;16860
3005;83528
2223;64176
4817;22304
2875;67023
10536;32892
11112;70713
3807;59925
9197;39722
10832;46610
6421;88347
4207;87171
577;26907
10855;50014
3081;41014
3535;66294
247;36715
8707;79456
9523;40479
6072;75345
6295;54233
10914;24163
1509;84460
5577;43776
7348;71691
1127;85844
1833;39190
4944;71367
9080;38578
6466;57236
9964;61825
4790;79803
10245;80910
1109;27590
6001;56775
5538;83829
10552;54210
1545;38508
7409;53187
4444;30023
146;76045
6271;50870
10065;15315
4741;65463
246;66480
375;76773
1524;81698
10022;54466
7451;98777
11010;16269
4356;71819
3885;33569
1175;36262
880;22634
2320;47025
850;70566
4713;31605
675;52034
5025;48526
2308;46734
5995;39552
6749;86358
1010;46931
8977;16581
4756;63998
3412;67381
606;25930
5961;42693
2975;85606
2894;72903
7613;49669
10542;36778
8015;85696
10617;10979
11166;49678
849;56129
523;37155
4066;21282
8414;33419
819;63285
4961;21255
749;42162
5430;54450
7755;57744
10525;26576
1453;57513
8310;68142
10710;7500
5031;83145
2613;54197
213;23091
967;46049
1077;56715
7959;79410
640;57304
4252;44375
8432;54450
6218;59594
6905;80685
5922;40344
3598;62710
6116;48985
6263;35322
10486;77142
2410;81657
193;14421
3363;20130
8278;74214
10660;66726
8686;23724
1604;47353
5907;33444
10669;54386
2918;28510
5735;90638
359;48070
8387;43140
1829;54959
3839;15056
9392;26954
2292;22327
10466;44393
9855;62000
4088;31497
5231;45894
590;78579
8732;67369
2315;58401
3515;62307
2245;43641
6283;63841
2246;46891
6606;70091
5545;78075
7342;59184
837;54809
9500;58113
3602;51412
234;15287
2995;66636
1118;50965
7789;84618
3068;18351
8955;40451
945;36317
5644;42213
7192;65748
2324;77044
697;74918
3439;56721
1506;42160
232;61559
8876;33629
4500;68682
9739;34377
10395;8940
1176;26228
1627;77297
938;40211
2740;33438
257;75032
4058;61284
7736;22518
8210;54730
833;38452
6230;44421
7325;38197
1307;41986
1502;28427
6211;37395
843;64722
4174;55249
9757;84906
6918;28691
286;44213
11086;25707
1921;59062
4138;76624
7718;66000
1291;27683
6862;1730
4136;7500
803;40521
4298;20427
10833;65106
9606;69969
8534;67433
5153;77766
961;74716
5011;68118
6653;55158
9094;62972
810;74190
5493;39356
2147;76653
5107;35860
3979;90687
6049;73450
8147;31454
1857;47139
3910;83829
5207;53378
11114;19656
5429;45579
9400;85485
1740;55956
7488;64191
195;38808
635;57183
7527;23748
10319;66303
2296;37368
10637;40800
2931;71847
907;46149
3698;78687
9516;49118
679;37633
7384;39767
5043;26997
5267;33986
339;57091
2516;46831
9010;83151
378;52531
4808;15759
5068;22804
7628;43050
7128;42997
2811;48918
3551;60033
1663;34043
5543;57811
1577;78569
10641;7500
5336;157733
6024;94384
1878;23148
3099;44267
6055;71626
5841;60894
3972;50200
4394;81051
5758;65169
6658;59868
4603;65695
8427;64857
10260;45143
7143;74805
8789;59060
6197;27238
4554;47009
4937;46094
1920;40321
8749;37235
1650;81843
10377;46692
9206;77382
10971;37774
6398;18393
9212;72828
7937;24711
839;45503
4246;6560
158;71604
4832;27244
5621;48752
1945;71434
5147;90842
2535;88097
11039;51948
9495;71853
9635;35876
2173;40049
942;39660
9386;50127
5510;43263
873;62845
2253;18929
5181;24367
979;33249
10390;26887
4698;50150
7793;62061
1745;85696
10590;76542
5080;70515
8369;18227
5232;69139
2407;69109
3834;69627
7912;38136
7712;62159
1065;80695
7275;33316
1343;58554
1384;17256
9967;53034
6181;52203
10507;59601
2674;75154
2698;47025
3231;37971
4096;41335
10476;67267
5948;57338
9140;50523
10258;35791
5675;50611
4743;56242
8805;48904
1542;56243
6770;21355
8773;57420
10475;
10420;46390
7514;54342
2902;
4345;
793;20895
10909;92344
3769;
8702;26907
4791;44964
2963;75507
8216;53761
8140;22682
10146;38887
5289;41658
2587;29791
4405;63915
8663;39996
2589;26759
3421;63841
10490;51039
4094;60544
9958;65685
2534;37716
4188;36864
6613;44511
10827;36947
5491;47352
8402;67087
8783;57045
10010;36957
618;69389
9121;80134
361;43142
4310;80589
2678;34412
6376;57537
524;22634
10341;51315
5654;36026
4098;24639
5824;34578
7000;65704
2561;63810
5229;54132
4086;18690
2428;28164
8254;34596
2836;43269
8418;38741
1362;31907
7152;27100
10033;31163
9349;92533
274;34853
3388;70844
922;31086
8588;60544
2518;20491
574;42523
3220;39922
5967;33402
1183;36408
6856;21645
4530;78427
1553;82657
4682;51876
8204;78041
5221;52852
1232;70038
1927;69401
5788;46053
6652;77343
6246;73892
5975;40304
6875;32727
4399;68695
4042;43300
2157;26290
10133;93790
2525;38410
8233;64866
9483;57957
2945;46015
10403;16531
5074;28072
10524;49476
4690;50725
7521;83844
7196;41145
4406;67419
9672;23162
4864;34380
4706;34704
4070;94871
25;65148
3697;39898
217;64857
4220;59892
5286;41020
9559;57072
2849;60474
7787;62807
3102;19414
5868;19107
8370;75484
9988;70379
2939;79419
5529;64014
9743;76998
5763;49854
3478;60585
7494;42873
1763;87679
7250;57867
2005;35765
10770;65492
6885;32952
2072;53374
9463;71706
6318;68487
4093;53253
5751;31163
3340;42014
3594;54108
3584;49667
3643;63206
851;57136
7706;46772
3967;78931
10128;53977
486;84219
9;46098
9451;73538
9264;79529
3865;20981
2853;51766
1490;55759
6310;33039
10380;37787
3887;27242
4278;87188
8643;69930
1998;37697
10795;37401
11110;3502
2408;58597
202;82032
7998;28087
830;74004
3536;19740
6050;57036
125;53083
3463;69283
2804;46098
3745;23331
9771;23331
451;9255
10530;67786
1079;71969
8920;59235
6678;31928
3852;74881
528;65819
73;51411
5589;51983
10212;42386
6365;30390
5636;30983
591;66033
2217;37284
2544;57530
7725;76800
8091;63943
7321;76081
5462;67445
7791;37054
955;47175
4037;31859
6642;27215
2793;70179
5424;39922
879;49681
9530;24645
4828;79865
10699;44322
1497;47958
7476;63972
4390;75315
10478;55517
1081;75283
4261;82800
9916;38998
5350;90638
8135;27161
8685;42014
4967;38201
2130;45203
9298;81574
8175;34935
6257;60482
3790;34633
9952;78093
3503;82460
5223;45903
4608;81361
1626;35860
4764;40442
2471;61482
5892;34968
2612;75794
4971;31497
5185;74268
10069;13724
2262;45143
1131;52569
1041;48432
24;17144
3409;36108
7022;76445
7943;36663
5272;53843
5453;90226
2565;70638
800;44512
11092;27116
5062;54072
8969;71855
4656;51250
4480;60432
9971;65526
6729;68655
1773;12393
9242;64509
1764;33955
6215;31353
10099;55434
5423;28359
940;57100
3011;69139
3298;52973
8286;51717
9668;18793
5120;66664
6097;50664
7019;54414
7408;54549
8041;47111
252;41003
9986;19444
3276;36301
3859;73059
3570;42731
3783;52854
10207;22775
10906;46681
3427;59821
5209;50002
10711;69755
10785;44078
2814;30560
6866;35924
1665;64140
6575;56386
3829;24594
3091;75774
10141;39228
5177;58494
7005;58684
6409;57136
7485;56551
8079;22448
8395;82014
10352;34213
4931;157146
13;25358
1834;35544
2285;36634
2295;62670
1378;50334
2781;72066
1165;50729
1404;34916
6457;64892
2639;43602
8299;33996
6437;41473
6912;63246
7327;36732
5299;69084
4127;77766
8143;37929
1964;86610
3690;80141
3433;72635
3389;69016
4712;20193
1170;27573
6347;15862
4065;49544
8230;33228
1215;70440
5939;38232
2156;22554
7788;23536
10323;49413
7947;42231
1891;78789
2570;56534
9256;58350
295;81217
7397;49090
6349;61787
10790;18169
10398;24336
2431;18222
550;62335
1890;42033
10742;86580
10356;41437
4676;73705
8852;61064
3565;38452
5294;18358
1958;55012
7349;9722
8799;38175
1351;58656
1045;52117
7732;64813
8070;54222
477;83512
7832;77520
2202;41154
7396;80398
4055;18746
10340;35196
10091;60230
7629;22108
10640;44392
3498;55424
6742;17688
1172;92491
569;90273
4686;82571
1381;38513
2634;16653
10905;42586
1744;23529
1000;74881
3828;71107
8605;46910
10304;18690
4351;37244
10129;82427
2499;75342
10092;70044
7500;79146
5796;77437
10556;54984
1064;42403
48;55761
7610;37292
263;45576
10814;70321
9710;58086
9292;81795
10250;28389
7881;66835
5847;69901
737;80360
3571;63342
7807;44989
3878;31859
5092;51569
2154;30372
5394;16014
3798;41120
3524;39763
5247;38725
5883;77981
2118;62905
8812;13533
6616;59481
2797;72117
4328;21955
9167;67131
10560;36802
2631;71853
8312;28249
5534;47808
5093;25509
7592;51012
8895;70596
8584;85431
2694;42664
8910;42586
7433;29760
164;28973
10477;39435
2681;65370
5150;20194
5283;42473
9645;64590
10678;71232
7261;34600
9648;46904
2870;49094
8008;36075
1513;60839
6173;77298
1419;34026
9150;48918
7960;82122
1250;37697
9905;34074
10691;28520
7002;62535
2952;36273
8439;63404
762;75774
2831;78416
6977;75702
6289;59385
4168;37070
8397;44689
9284;53977
6237;7144
3130;18701
1619;90369
1990;63159
5513;37758
269;46757
8093;79734
10513;63207
10177;72071
2549;21840
5782;58582
10057;72282
10307;50387
8566;32583
2415;62568
5684;44635
8334;33316
9166;63967
1440;52513
78;25293
5441;54111
5302;78394
4687;80739
1087;22669
6859;29236
9860;44911
7129;54693
5866;48186
10521;54809
7393;41580
7849;80336
332;47743
9847;62972
531;57333
9576;32313
6906;84953
7419;27071
3170;68148
8527;65735
7872;86836
9931;4023
10595;30093
4609;57705
5010;25008
4427;83257
11148;22280
1168;72159
9595;64260
10163;82733
2886;74290
6710;58217
5316;21024
9029;70116
521;54006
1459;69063
10241;11448
1630;61825
3254;70886
9064;69109
3678;60208
4227;32889
9467;34738
8486;30538
2186;82326
3286;26642
8602;69932
3722;44503
6715;60200
4796;49638
9612;23830
3766;33051
1399;72905
1570;69702
3426;70300
3074;70643
8341;30396
5180;50616
6461;62772
7679;30298
10702;52413
7505;44155
5113;86979
10858;76532
2961;42081
2747;67546
3010;88420
5790;31158
6892;61671
1743;69719
3578;49160
8462;24882
5558;90933
4619;113734
8780;59292
10789;45759
10779;22148
5896;73395
2337;29819
10951;45688
544;62820
17;60491
10680;33235
3265;35701
5623;31535
5832;92556
5544;67384
6417;80573
5831;77870
7101;52278
10176;57107
2326;18929
4385;36038
2929;20180
10686;34230
2546;31878
3283;70932
3138;91249
4994;77598
7966;80982
3112;22701
10872;55212
2181;70617
1867;64849
1518;62694
5734;61917
2878;67472
1458;21059
7007;29543
6200;75903
1403;34984
4827;54998
6250;54356
9291;34242
2478;25410
1139;73356
5138;28320
5393;23763
10413;72570
5015;34529
10868;70792
10676;63211
2495;83891
7842;36065
9955;39898
6663;51141
2162;56939
3434;80872
7919;72335
5626;61798
6428;76842
8514;29478
10448;46998
2109;96843
7530;56551
8925;70053
3009;71670
6355;44359
3517;40887
1158;48877
6203;74485
7165;64474
3595;77226
8537;72643
4331;85738
6281;55686
4338;39062
2452;34600
9507;40794
8360;54690
10311;4428
5117;32632
4867;38236
9289;36781
10913;31385
3032;24570
8524;25509
3334;94642
4470;58646
1406;53201
8619;21994
10821;57113
4552;51373
898;23477
9797;58116
10949;72968
8212;39791
6248;91712
10164;94472
4547;13672
6815;96547
4122;79205
10841;56559
5370;32644
176;67506
4860;24206
10757;28420
4023;22979
6679;33279
9923;46423
7181;30368
3599;63684
405;41638
6870;68805
832;65814
2002;71964
3657;39146
500;96876
1951;34445
3262;68281
4102;37284
7042;36790
10598;27943
255;22263
2375;30261
9829;28587
6214;43815
4954;48195
7861;77027
4837;71322
9423;32765
4198;29672
153;23272
9323;49912
10001;7500
3945;68117
3799;67225
8625;17649
3491;55914
983;40059
9119;60905
4786;75330
5872;60689
6568;38680
5628;61416
5631;49767
4974;83273
8416;29009
5454;45057
4095;37150
5474;43020
4268;53154
10701;65308
3507;76467
2079;81044
626;32871
4426;55801
2591;76320
10509;36927
6382;48794
6673;23478
7441;71128
1071;70179
10061;59462
7187;
8775;38361
1612;
2345;70038
322;42554
10897;67445
123;67046
6103;42192
7899;77610
10500;31761
1655;34350
2406;54591
2712;71866
5517;25293
10643;42000
2254;69520
10281;64713
6958;27889
954;22123
5079;
10339;
4643;27803
3117;
6497;51651
5396;68487
5250;
1052;56796
2802;87000
6343;79823
6507;30828
7901;34109
4865;53367
2686;22390
3107;71322
7734;79244
1146;49912
11031;48699
7428;80144
975;54252
1103;81929
3422;76068
1055;53204
6544;67911
1241;14796
2909;78128
5802;14188
1407;20425
6183;58646
340;72967
5991;48150
3104;82332
9729;58275
1008;44953
11091;34587
3969;43018
1916;45736
9907;66476
87;27733
8659;69805
6262;72217
6147;25818
8832;37509
10067;25176
7532;43586
4915;53230
2115;50116
2088;84906
2493;61286
6292;82333
1631;65220
10104;33590
3006;30992
3919;72309
11181;156924
642;16005
4369;65487
10127;58692
271;40590
4973;20587
2948;62637
2715;29435
10432;19346
9216;35788
7124;36997
9727;23539
5136;65333
9790;78499
1818;29732
1100;41275
7873;63516
10609;42769
6950;49572
7233;69209
9481;17148
7699;40590
2711;30560
8933;32146
8726;41713
1515;34176
5186;58482
10157;59686
5667;60896
902;62994
977;47320
7313;74859
7600;15253
9706;31560
2429;72071
3520;91172
10394;90000
4548;41967
9362;69263
3968;65706
4084;60934
6721;71965
2829;65210
1772;79174
1544;81380
492;48432
4377;52914
4541;38946
1321;26067
8858;44325
3266;42523
11187;26487
8207;53233
9723;67716
2666;76234
5721;84117
10652;65487
1646;25224
4418;89616
2656;40851
7990;27469
8722;82347
7118;73803
2980;8820
1839;43322
10722;55593
2632;50501
9014;37085
7620;16185
10968;57731
11133;48432
2736;73807
1876;18929
5959;35893
1092;61014
4333;32144
3850;14918
6168;45146
607;41769
10469;88325
6983;38054
3661;80617
9303;5305
692;36807
736;28427
9589;82032
4838;22775
9246;40101
6261;58025
7366;75777
10659;7500
1448;33562
4286;57642
4749;58554
4478;63777
4201;57967
8720;
10084;24434
7004;11012
9817;44802
8080;26816
9432;666666
8372;34421
10870;61223
4001;64014
7270;56981
8235;69245
9405;52869
